toi,tid,pl_tranmid,pl_orbper,pl_trandurh,pl_trandep
4496.01,275758701,2459445.919,1.1861003,1.785,2610
4497.01,436166416,2459440.842,3.600219,3.551,8150
4498.01,305943739,2459441.27,5.3073459,3.714,200
4499.01,120183168,2459445.431,3.4902176,2.457,330
4500.01,406190563,2459444.471,1.7776457,3.079,610
4501.01,22069559,2459446.505,2.0355691,2.501,170
4502.01,239372503,2459444.11,1.7104291,1.275,250
4491.01,193336820,2459439.246,5.0066638,1.556,630
4492.01,298297931,2459438.156,4.4332062,3.952,9350
4493.01,263218688,2459444.618,1.5076523,1.895,260
4494.01,40466976,2459407.233,32.5347367,3.399,3630
4495.01,120826158,2459444.567,5.1830078,2.673,640
4486.01,99224131,2459443.774,2.6915832,4.115,7110
4487.01,193754373,2459422.647,3.9537113,4.1469897,7077.181045
4488.01,269269546,2459424.384,4.4534721,2.5139762,20510.5125
4489.01,267572272,2459421.488,2.7975784,2.1933411,19288.74908
4490.01,268924036,2459421.6,2.0528386,2.0480348,38697.05921
4478.01,233823679,2459422.547,2.7582361,3.0938406,4545.285419
4479.01,126606859,2459420.758,1.1588048,1.1466152,3243.372602
4480.01,377873569,2459421.14,3.8498289,2.3605511,1561.743133
4481.01,239332587,2459420.564,0.9262771,0.9494432,1029.689448
4482.01,27990610,2459420.243,2.8169893,2.5902037,19181.05606
4483.01,209752908,2459420.281,1.7524734,2.0632306,74006.34834
4484.01,272707711,2459420.963,2.6890703,2.1209962,38330.4095
4485.01,137903329,2459423.156,7.3349696,2.1120366,14115.75171
4471.01,27318774,2459422.91,3.2424773,3.0920755,16327.19323
4472.01,63211674,2459422.501,8.6141873,7.9953771,3817.892629
4473.01,122441491,2459420.413,3.796315,2.3270061,17493.55809
4474.01,264508014,2459422.512,3.3106103,1.2158847,6985.922172
4475.01,159098316,2459422.608,3.5801874,3.3935949,10685.80546
4476.01,399794420,2459421.078,1.5961247,1.7828182,20518.8953
4477.01,64531556,2459423.304,7.8116811,6.4151533,8322.627939
4466.01,268604331,2459423.837,5.013122,4.7105315,5357.240012
4467.01,48506505,2459420.812,7.7913418,0.8988132,3403.617272
4468.01,441763252,2459421.841,2.7709036,2.3018759,20702.94106
4469.01,75262942,2459421.462,2.6639029,1.7586999,36290.14537
4470.01,256364928,2459444.28,2.2185706,1.507,26650
4464.01,441589581,2459409.66,8.0381505,3.152,310
4465.01,157236902,2459395.125,,12.002,13520
4460.01,461635621,2459376.432,28.6651992,4.254,1170
4461.01,149282072,2459414.073,3.7006397,4.167,840
4462.01,76420654,2459416.007,4.9132953,5.252,2650
4463.01,8599009,2459415.512,2.880718,1.553,11160
4449.01,322046084,2459391.774,2.751862,1.7658616,8695.101448
4450.01,373017346,2459396.331,10.6902243,3.6343919,1194.680043
4451.01,23229805,2459397.923,8.8562165,4.3720354,1075.475644
4452.01,229581160,2459392.781,3.4148114,2.7337964,13508.75604
4453.01,243333538,2459391.935,2.9987287,2.9766578,29196.48027
4454.01,48217457,2459391.569,3.1198091,2.7190588,16955.37902
4455.01,138644215,2459391.222,1.5449339,1.2199443,5919.272676
4456.01,27774415,2459393.119,4.9431017,3.4027425,11814.59553
4457.01,299220166,2459390.719,3.2173869,1.6726005,16944.93455
4458.01,229671380,2459392.577,3.9388854,5.311,3838.648112
4459.01,230129753,2459392.142,5.7497142,2.0664764,13334.23787
4440.01,164786087,2459391.08,4.0829678,3.4710093,17626.18616
4441.01,23982469,2459391.449,4.3744665,4.8751344,7693.242519
4442.01,446158352,2459392.834,4.0431823,3.9038748,10969.1737
4443.01,158241252,2459415.152,1.8498638,1.952,210
4444.01,158167408,2459392.332,5.2455025,3.1964873,9105.910971
4445.01,158388163,2459394.539,4.225179,2.5319751,7390.007077
4446.01,137899948,2459391.337,2.455288,1.9058494,47322.81649
4447.01,153937417,2459392.184,4.1598614,2.4355969,18486.9548
4448.01,138359318,2459390.966,1.0187658,1.4973578,101876.6494
4431.01,121660904,2459393.531,4.8850899,5.1711404,6461.867948
4432.01,198610218,2459391.055,3.041273,1.5194332,27761.67667
4433.01,158551257,2459391.148,0.902405,1.3237064,6937.461918
4434.01,63452790,2459392.817,2.6833914,2.5417624,15632.25685
4435.01,122596693,2459392.456,3.5267791,2.4210503,27118.3877
4436.01,420268415,2459391.173,1.7591042,3.556697,10557.65231
4437.01,237205154,2459390.685,5.893173,3.9178325,16908.82189
4438.01,22233480,2459396.413,7.4447733,1.953785,3778.541168
4439.01,267545252,2459393.172,3.3796829,2.865681,19821.60516
4426.01,271354351,2459390.874,3.9057214,2.9121038,24963.18892
4427.01,207339000,2459390.891,4.6182208,2.6614434,20224.42098
4428.01,271042217,2459391.972,1.8559185,2.2476038,11301.0777
4429.01,233188747,2459390.971,3.4505469,3.0620478,14990.4287
4430.01,362222177,2459392.93,13.2852523,6.5846254,8427.102837
4424.01,326386495,2459383.797,17.7424733,3.082,880
4425.01,106940971,2459385.734,5.412802,4.168,3860
4415.01,1234810324,2459385.695,1.8303538,1.971,3140
4416.01,79605791,2459378.526,9.3305377,5.232,5610
4417.01,208297760,2459382.714,5.2574854,2.05,1250
4418.01,295593712,2459388.368,7.6247981,1.938,610
4419.01,352229268,2459365.247,16.155134,3.528,590
4420.01,362709886,2459386.781,4.7259465,2.978,6650
4421.01,141412823,2459370.461,21.7008057,9.387,300
4422.01,263748033,2459383.28,4.9082538,4.381,7340
4423.01,344600402,2459385.016,1.3875331,2.372,1140
4412.01,35315453,2459382.69,2.0341258,3.658,1020
4413.01,142019343,2459385.103,4.4719451,2.515,110
4414.01,1405997635,2459385.395,1.8697825,2.721,2940
4411.01,366484980,2458500.994,13.7749999,5.1550404,267.5243731
4407.01,207238953,2459089.904,7.1362966,1.9458943,826.1741694
4408.01,260189643,2459036.346,2.0541795,1.1965822,1979.096804
4409.01,382200986,2459076.349,92.4876059,6.9164206,11324.90118
4404.01,342314656,2459248.475,39.6246028,2.0733014,4475.017498
4405.01,177254988,2459039.642,5.9213859,2.0729197,1328.717781
4406.01,206541859,2459064.119,30.0817797,3.934256,5387.698778
4403.01,350931281,2459036.767,4.4620771,4.5911335,273.3030516
4401.01,178170828,2459116.21,0.450264,1.1871566,331.3974583
4402.01,197807778,2458355.491,3.6989935,3.1714365,202.5887314
4400.01,231630147,2459038.947,7.0673086,3.7698984,11374.06757
4399.01,464646604,2459037.871,7.7121208,2.4343481,728.4849109
4390.01,369345064,2459378.636,4.3954317,1.558,750
4391.01,66620917,2459377.163,5.2910096,4.122,1670
4392.01,429791387,2459379.962,3.9693722,2.005,570
4393.01,107440797,2459386.168,2.2676081,1.671,880
4394.01,341805908,2459388.679,1.488954,1.816,950
4395.01,218483943,2459382.362,3.7589382,2.75,527
4396.01,379723086,2459376.681,7.4398907,2.89,1010
4397.01,107728509,2459385.729,2.6646183,4.135,840
4398.01,214243287,2459379.721,5.7525297,4.641,8800
4388.01,313554509,2459364.3,4.4751215,2.8830849,3015.75751
4389.01,41387532,2459367.619,11.4041935,1.7478969,2216.71914
4379.01,97766057,2459363.369,3.2532293,5.1476018,6232.495474
4380.01,169958952,2459362.802,1.3289805,1.8121498,2266.415973
4381.01,305767364,2459362.926,1.4974223,2.2238426,39324.5082
4382.01,32460142,2459363.824,10.6895417,3.6496675,643.3958437
4383.01,384744828,2459363.499,3.0421334,1.5964685,2054.305028
4384.01,259230140,2459383.028,14.3172763,5.368,1310
4385.01,22186226,2459369.101,9.2169868,7.4821714,2337.569116
4386.01,350575997,2459363.256,2.0131673,1.3394144,980.6717484
4387.01,33350443,2459364.143,3.5620305,6.1441072,4338.426979
4377.01,394918211,2459363.905,4.3774691,8.4412102,1589.382061
4378.01,394721720,2459362.616,1.0690773,1.4512518,3007.530437
4371.01,450649506,2459359.873,1.0604139,2.084,1050
4372.01,401980624,2459388.847,3.2752127,2.473,640
4373.01,315350812,2459352.269,5.9423119,1.906,1190
4374.01,308191940,2459343.367,13.2689495,2.8,770
4375.01,343708863,2459379.131,5.9685742,2.059,340
4376.01,250306572,2459359.389,1.6089592,2.58,320
2322.02,300812741,2459368.95,11.3072061,2.691,220
4369.01,278862750,2459385.396,13.5769267,4.455,180
4370.01,335040423,2459330.971,2.5610662,4.338,170
4365.01,413343957,2459383.537,3.3784254,2.093,1000
4366.01,297361900,2459359.426,2.6374675,1.703,440
4367.01,313675203,2459358.522,2.5110467,2.973,410
4368.01,314724818,2459359.274,4.4518639,1.9,2300
4360.01,52307802,2458328.294,3.0749338,1.3032724,1656.592049
4361.01,334632624,2458520.649,741.4255896,5.2428848,498.0174143
4362.01,238164799,2458470.495,7.5480612,5.1850184,248.5318749
4363.01,325682877,2458412.277,2.118659,1.5585526,664.8120556
4364.01,4070275,2458439.34,5.4240691,1.6875037,1766.85893
4359.01,133505138,2459330.394,2.4360845,2.495,350
2345.02,91555165,2459120.3,42.1289893,4.6130523,961.655867
2392.02,149349867,2459356.297,3.407219,3.92,230
451.02,257605131,2458410.999,1.8586624,2.0525797,497.6683497
451.03,257605131,2458411.806,9.1910792,3.055677,940.8500219
786.02,375059587,2458349.006,38.5540291,6.7205293,362.907764
