epoch,t0s,t0s_err
0,55.0801,0.0006
1,66.0069,0.0006
2,76.9294,0.0006
3,87.8535,0.0006
4,98.7724,0.0006
5,109.694,0.0006
6,120.61,0.0006
7,131.529,0.0006
8,142.4428,0.0005
9,153.359,0.0005
10,164.271,0.0005
11,175.1842,0.0004
12,186.0949,0.0004
13,197.0053,0.0004
14,207.9153,0.0004
15,218.8236,0.0004
16,229.7343,0.0004
17,240.6417,0.0004
18,251.5549,0.0004
19,262.4635,0.0004
20,273.3817,0.0003
21,284.2945,0.0004
22,295.2204,0.0003
23,306.141,0.0003
24,317.0776,0.0003
25,328.0099,0.0003
26,338.9599,0.0003
27,349.9075,0.0003
28,360.8724,0.0003
29,371.8376,0.0002
30,382.8176,0.0003
31,393.8013,0.0003
32,404.7949,0.0003
33,415.7958,0.0003
34,426.8001,0.0003
35,437.8153,0.0003
36,448.8265,0.0003
37,459.8516,0.0002
38,470.865,0.0003
39,481.8951,0.0003
40,492.906,0.0003
41,503.9356,0.0003
42,514.9395,0.0003
43,525.9633,0.0003
44,536.9563,0.0003
45,547.9694,0.0003
46,558.9488,0.0003
47,569.9472,0.0003
48,580.9118,0.0003
49,591.8931,0.0003
50,602.8433,0.0003
51,613.8073,0.0003
52,624.745,0.0003
53,635.693,0.0003
54,646.621,0.0003
55,657.5559,0.0003
56,668.4772,0.0003
57,679.4024,0.0003
58,690.32,0.0003
59,701.2388,0.0003
60,712.1548,0.0003
61,723.0702,0.0003
62,733.9861,0.0003
63,744.9002,0.0003
64,755.817,0.0003
65,766.7312,0.0003
66,777.6491,0.0003
67,788.5644,0.0003
68,799.4832,0.0003
69,810.4001,0.0003
70,821.3198,0.0003
71,832.2386,0.0003
72,843.1589,0.0002
73,854.08,0.0002
74,865.0009,0.0002
75,875.9247,0.0002
76,886.8469,0.0002
77,897.7743,0.0002
78,908.6986,0.0002
79,919.6309,0.0002
80,930.5588,0.0002
81,941.4977,0.0003
82,952.4313,0.0003
83,963.3784,0.0003
84,974.32,0.0003
85,985.2771,0.0003
86,996.2289,0.0004
87,1007.1973,0.0004
88,1018.1611,0.0004
89,1029.1411,0.0003
90,1040.1179,0.0004
91,1051.1087,0.0003
92,1062.0982,0.0003
93,1073.0978,0.0003
94,1084.0985,0.0003
95,1095.1039,0.0003
96,1106.113,0.0003
97,1117.1206,0.0003
98,1128.1344,0.0003
99,1139.1399,0.0003
100,1150.1542,0.0003
101,1161.1533,0.0003
102,1172.1635,0.0003
103,1183.1522,0.0003
104,1194.1539,0.0003
105,1205.129,0.0003
106,1216.1182,0.0003
107,1227.0777,0.0003
108,1238.0516,0.0003
109,1248.9955,0.0003
110,1259.9529,0.0003
111,1270.8828,0.0003
112,1281.8244,0.0003
113,1292.7431,0.0003
114,1303.6713,0.0003
115,1314.5826,0.0003
116,1325.501,0.0003
117,1336.4085,0.0003
118,1347.321,0.0003
119,1358.2278,0.0003
120,1369.1379,0.0003
121,1380.0465,0.0003
122,1390.9571,0.0003
123,1401.8691,0.0003
124,1412.7823,0.0003
125,1423.6985,0.0003
126,1434.6157,0.0003
127,1445.5365,0.0003
128,1456.4585,0.0003
129,1467.3838,0.0003
130,1478.3108,0.0003
131,1489.2403,0.0003
132,1500.1725,0.0004
133,1511.106,0.0004
134,1522.0435,0.0005
135,1532.9809,0.0006
136,1543.9237,0.0006
137,1554.8649,0.0007
138,1565.8134,0.0007
139,1576.7589,0.0008
140,1587.7135,0.0009
141,1598.6639,0.0009
142,1609.625,0.001
143,1620.5811,0.001
144,1631.5493,0.001
145,1642.5118,0.0011
146,1653.4873,0.0011
147,1664.457,0.0011
148,1675.4397,0.001
149,1686.4167,0.001
150,1697.4061,0.001
151,1708.3901,0.0009
152,1719.3848,0.0009
153,1730.3749,0.0009
154,1741.3727,0.0009
155,1752.3673,0.0008
156,1763.3659,0.0009
157,1774.3625,0.0009
158,1785.3588,0.0011
159,1796.3548,0.0012
160,1807.3451,0.0014
161,1818.3373,0.0014
162,1829.3182,0.0017
163,1840.3034,0.0017
164,1851.2719,0.002
165,1862.2471,0.002
166,1873.2014,0.0022
167,1884.1641,0.0022
168,1895.1034,0.0024
169,1906.0524,0.0024
170,1916.9775,0.0025
171,1927.9128,0.0025
172,1938.8262,0.0025
173,1949.7495,0.0025
174,1960.6546,0.0024
175,1971.5687,0.0024
176,1982.4694,0.0023
177,1993.378,0.0023
178,2004.2781,0.0021
179,2015.1852,0.0021
180,2026.0879,0.0019
181,2036.9966,0.0018
182,2047.9041,0.0016
183,2058.8172,0.0015
184,2069.7313,0.0014
185,2080.6505,0.0013
186,2091.5718,0.0012
187,2102.4982,0.0012
188,2113.4272,0.0012
189,2124.3616,0.0012
190,2135.2981,0.0012
191,2146.2402,0.0012
192,2157.1838,0.0013
193,2168.1336,0.0013
194,2179.0839,0.0015
195,2190.041,0.0015
196,2200.9974,0.0017
197,2211.9614,0.0017
198,2222.9234,0.0019
199,2233.8936,0.0019
200,2244.861,0.002
201,2255.837,0.0021
202,2266.8092,0.0022
203,2277.7906,0.0022
204,2288.7672,0.0023
205,2299.7531,0.0023
206,2310.7338,0.0024
207,2321.7234,0.0024
208,2332.7074,0.0024
209,2343.6998,0.0024
210,2354.6863,0.0024
211,2365.6802,0.0025
212,2376.6682,0.0025
213,2387.662,0.0026
214,2398.6501,0.0027
215,2409.6421,0.0029
216,2420.6283,0.003
217,2431.6162,0.0033
218,2442.5992,0.0035
219,2453.5808,0.0039
220,2464.5581,0.0042
221,2475.5307,0.0047
222,2486.5007,0.005
223,2497.4626,0.0055
224,2508.4236,0.0058
225,2519.373,0.0063
226,2530.3234,0.0065
227,2541.2592,0.0069
228,2552.1984,0.0071
229,2563.1212,0.0073
230,2574.0494,0.0074
231,2584.9608,0.0075
232,2595.8793,0.0075
233,2606.782,0.0075
234,2617.6929,0.0074
235,2628.5903,0.0072
236,2639.4969,0.007
237,2650.3929,0.0068
238,2661.2984,0.0065
239,2672.1966,0.0062
240,2683.1042,0.0059
241,2694.0075,0.0055
242,2704.9202,0.0052
243,2715.8312,0.0048
244,2726.7517,0.0046
245,2737.6718,0.0042
246,2748.6013,0.004
247,2759.5309,0.0037
248,2770.4698,0.0035
249,2781.4095,0.0033
250,2792.3588,0.0032
251,2803.3081,0.0031
252,2814.2671,0.003
253,2825.2256,0.003
254,2836.1934,0.003
255,2847.1605,0.0031
256,2858.1364,0.0031
257,2869.1107,0.0032
258,2880.0939,0.0033
259,2891.0745,0.0034
260,2902.0636,0.0035
261,2913.0495,0.0036
262,2924.0433,0.0037
263,2935.0334,0.0039
264,2946.0305,0.004
265,2957.0234,0.0041
266,2968.0223,0.0042
267,2979.0167,0.0044
268,2990.0162,0.0045
269,3001.0107,0.0047
270,3012.0091,0.0049
271,3023.002,0.0051
272,3033.9977,0.0054
273,3044.9881,0.0057
274,3055.9794,0.006
275,3066.9647,0.0064
276,3077.9495,0.0068
277,3088.9287,0.0073
278,3099.9063,0.0079
279,3110.878,0.0084
280,3121.8463,0.0091
281,3132.8089,0.0097
282,3143.7662,0.0104
283,3154.7184,0.0111
284,3165.6641,0.0118
285,3176.6055,0.0124
286,3187.5392,0.0131
287,3198.4702,0.0136
288,3209.3921,0.0142
289,3220.313,0.0145
290,3231.224,0.0149
291,3242.1366,0.015
292,3253.0391,0.0152
293,3263.9456,0.0151
294,3274.8423,0.0151
295,3285.7452,0.0148
296,3296.6394,0.0145
297,3307.5421,0.014
298,3318.4373,0.0135
299,3329.3432,0.0129
300,3340.2429,0.0123
301,3351.1544,0.0117
302,3362.0613,0.011
303,3372.9813,0.0104
304,3383.8975,0.0097
305,3394.8273,0.0091
306,3405.7542,0.0084
307,3416.6951,0.008
308,3427.6334,0.0074
309,3438.5855,0.007
310,3449.5351,0.0065
311,3460.4988,0.0062
312,3471.4598,0.0059
313,3482.4338,0.0057
314,3493.4049,0.0055
315,3504.3883,0.0054
316,3515.3683,0.0053
317,3526.3597,0.0053
318,3537.3476,0.0053
319,3548.3456,0.0054
320,3559.3398,0.0055
321,3570.3429,0.0056
322,3581.3417,0.0057
323,3592.348,0.0059
324,3603.3499,0.0061
325,3614.3577,0.0064
326,3625.361,0.0066
327,3636.3685,0.0069
328,3647.3715,0.0072
